Article date,Article title,Article slug,Article URL,Total content images,Images with any CSV record,Images in a provided CSV,Images confirmed uploaded to Pinterest,Images with no CSV record,CSV coverage status,Pinterest handoff / upload status,Latest scheduled dates,Batch file(s),Tracker updated
2026-08-13,"Halloween Junk Journal Pockets for Secrets, Spells, and Small Stories",halloween-junk-journal-pockets-for-secrets-spells-and-small-stories,https://sentimentalica.com/blog/halloween-junk-journal-pockets-for-secrets-spells-and-small-stories.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-13,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,2026-08-14
2026-08-13,6 Glue Mistakes to Avoid in a Junk Journal,glue-mistakes-to-avoid-in-a-junk-journal,https://sentimentalica.com/blog/glue-mistakes-to-avoid-in-a-junk-journal.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-19,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,Your First Junk Journal Spread With Only Five Things,first-junk-journal-spread-with-five-things,https://sentimentalica.com/blog/first-junk-journal-spread-with-five-things.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-19,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,Your First Junk Journal Pocket in Four Steps,first-junk-journal-pocket-in-four-steps,https://sentimentalica.com/blog/first-junk-journal-pocket-in-four-steps.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-21,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,How to Make an Easter Recipe Memory Page,easter-recipe-memory-page,https://sentimentalica.com/blog/easter-recipe-memory-page.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-20 | 2026-08-21,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,An Easter Memory Pocket for Family Traditions,easter-memory-pocket-for-family-traditions,https://sentimentalica.com/blog/easter-memory-pocket-for-family-traditions.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-18,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,An Early Spring Junk Journal Palette in Four Colors,early-spring-junk-journal-color-palette,https://sentimentalica.com/blog/early-spring-junk-journal-color-palette.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-20,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,Beginner Junk Journal Paper Picks: Start With Five,beginner-junk-journal-paper-picks,https://sentimentalica.com/blog/beginner-junk-journal-paper-picks.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-21,UPLOAD_THIS_latest-11-articles_2026-08-18_to_2026-08-21.csv,2026-08-14
2026-08-13,A Harvest Market Journal Page From One Slow Morning,a-harvest-market-journal-page-from-one-slow-morning,https://sentimentalica.com/blog/a-harvest-market-journal-page-from-one-slow-morning.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-13,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,2026-08-14
2026-08-13,A Forest Field-Notes Journal From One Woodland Walk,a-forest-field-notes-journal-from-one-woodland-walk,https://sentimentalica.com/blog/a-forest-field-notes-journal-from-one-woodland-walk.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-13,A Christmas Junk Journal Made From One Day at Home,a-christmas-junk-journal-made-from-one-day-at-home,https://sentimentalica.com/blog/a-christmas-junk-journal-made-from-one-day-at-home.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-13,A Butterfly Specimen Journal Built Around One Sighting,a-butterfly-specimen-journal-built-around-one-sighting,https://sentimentalica.com/blog/a-butterfly-specimen-journal-built-around-one-sighting.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-13,A Backyard Bird-Sighting Journal for Beginners,a-backyard-bird-sighting-journal-for-beginners,https://sentimentalica.com/blog/a-backyard-bird-sighting-journal-for-beginners.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-13,7 Autumn Textures to Layer in a Junk Journal,7-autumn-textures-to-layer-in-a-junk-journal,https://sentimentalica.com/blog/7-autumn-textures-to-layer-in-a-junk-journal.html,2,2,2,0,0,Complete: every current article image has a CSV record,CSV provided for every current image; Pinterest upload not confirmed,2026-08-13,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,2026-08-14
2026-08-13,15 Creative Journal Prompts From One Ordinary Object,15-creative-journal-prompts-from-one-ordinary-object,https://sentimentalica.com/blog/15-creative-journal-prompts-from-one-ordinary-object.html,2,0,0,0,2,Not started: no current article image has a CSV record,No CSV handoff recorded,,,2026-08-14
2026-08-12,How to Use Yellow Flowers Without Making a Journal Page Too Sweet,how-to-use-yellow-flowers-without-making-a-journal-page-too-sweet,https://sentimentalica.com/blog/how-to-use-yellow-flowers-without-making-a-journal-page-too-sweet.html,8,8,8,8,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for every current article image,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-12,A Five-Minute Journal Routine When You Have Nothing to Write,a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write,https://sentimentalica.com/blog/a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write.html,3,3,3,3,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for every current article image,2026-08-15,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,Vintage Wallpaper Ideas That Keep Your Phone Icons Readable,vintage-wallpaper-ideas-that-keep-your-phone-icons-readable,https://sentimentalica.com/blog/vintage-wallpaper-ideas-that-keep-your-phone-icons-readable.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,Scrap Paper Project Ideas for Pretty Leftovers,scrap-paper-project-ideas-for-pretty-leftovers,https://sentimentalica.com/blog/scrap-paper-project-ideas-for-pretty-leftovers.html,8,8,8,6,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 6 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,Purple and Green Color Mixing for Mystical Journal Pages,purple-and-green-color-mixing-for-mystical-journal-pages,https://sentimentalica.com/blog/purple-and-green-color-mixing-for-mystical-journal-pages.html,8,8,8,6,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 6 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,7 Printable Cutting Tips for Cleaner Craft Pieces,printable-cutting-tips-for-cleaner-craft-pieces,https://sentimentalica.com/blog/printable-cutting-tips-for-cleaner-craft-pieces.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,"Peach, Cream, and Olive Color Mix for Romantic Journal Pages",peach-cream-and-olive-color-mix-for-romantic-journal-pages,https://sentimentalica.com/blog/peach-cream-and-olive-color-mix-for-romantic-journal-pages.html,9,9,9,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 9 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,Orange and Teal Butterfly Journal Colors That Stay Balanced,orange-and-teal-butterfly-journal-colors-that-stay-balanced,https://sentimentalica.com/blog/orange-and-teal-butterfly-journal-colors-that-stay-balanced.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,7 Journal Mistakes to Avoid Before You Start Over,journal-mistakes-to-avoid-before-you-start-over,https://sentimentalica.com/blog/journal-mistakes-to-avoid-before-you-start-over.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,How to Use Red Poppies Without Overpowering a Journal Page,how-to-use-red-poppies-without-overpowering-a-journal-page,https://sentimentalica.com/blog/how-to-use-red-poppies-without-overpowering-a-journal-page.html,8,8,8,6,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 6 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,"How to Make Forest Journal Pages Feel Deep, Not Muddy",how-to-make-forest-journal-pages-feel-deep-not-muddy,https://sentimentalica.com/blog/how-to-make-forest-journal-pages-feel-deep-not-muddy.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,"How to Make a Spring Junk Journal Page Feel Fresh, Not Busy",how-to-make-a-spring-junk-journal-page-feel-fresh-not-busy,https://sentimentalica.com/blog/how-to-make-a-spring-junk-journal-page-feel-fresh-not-busy.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,"How to Make a Shabby Chic Journal Feel Soft, Not Sugary",how-to-make-a-shabby-chic-journal-feel-soft-not-sugary,https://sentimentalica.com/blog/how-to-make-a-shabby-chic-journal-feel-soft-not-sugary.html,9,9,9,5,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 5 of 9 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,How to Coffee and Tea Dye Paper Without Warping It,how-to-coffee-and-tea-dye-paper-without-warping-it,https://sentimentalica.com/blog/how-to-coffee-and-tea-dye-paper-without-warping-it.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,Fantasy Wallpaper Art That Leaves Room for Your Lock Screen,fantasy-wallpaper-art-that-leaves-room-for-your-lock-screen,https://sentimentalica.com/blog/fantasy-wallpaper-art-that-leaves-room-for-your-lock-screen.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,"Easter Junk Journal Ideas That Feel Collected, Not Themed",easter-junk-journal-ideas-that-feel-collected-not-themed,https://sentimentalica.com/blog/easter-junk-journal-ideas-that-feel-collected-not-themed.html,8,8,8,8,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for every current article image,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,Copper and Teal Junk Journal Colors for Steampunk Pages,copper-and-teal-junk-journal-colors-for-steampunk-pages,https://sentimentalica.com/blog/copper-and-teal-junk-journal-colors-for-steampunk-pages.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,"Botanical Wallpaper Ideas That Feel Collected, Not Crowded",botanical-wallpaper-ideas-that-feel-collected-not-crowded,https://sentimentalica.com/blog/botanical-wallpaper-ideas-that-feel-collected-not-crowded.html,8,8,8,6,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 6 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,"Bird Journal Inspiration That Feels Observed, Not Decorated",bird-journal-inspiration-that-feels-observed-not-decorated,https://sentimentalica.com/blog/bird-journal-inspiration-that-feels-observed-not-decorated.html,3,3,3,3,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for every current article image,2026-08-14,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,An Autumn Junk Journal Page From One Walk Around the Block,an-autumn-junk-journal-page-from-one-walk-around-the-block,https://sentimentalica.com/blog/an-autumn-junk-journal-page-from-one-walk-around-the-block.html,3,3,3,3,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for every current article image,2026-08-13,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,A Lemon-Themed Summer Junk Journal Without Too Much Yellow,a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,"A Dark Academia Lock Screen That Is Moody, Not Muddy",a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,8,8,8,7,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 7 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-11,A Cottagecore Journal Page Built From One Ordinary Morning,a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,9,9,9,4,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 4 of 9 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-10,3 Small DIY Paper Projects From One Printable Page,three-small-diy-paper-projects-from-one-printable-page,https://sentimentalica.com/blog/three-small-diy-paper-projects-from-one-printable-page.html,8,8,8,3,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 3 of 8 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-10,How to Turn Printable Art Into a Digital Wallpaper,how-to-turn-printable-art-into-a-digital-wallpaper,https://sentimentalica.com/blog/how-to-turn-printable-art-into-a-digital-wallpaper.html,9,9,9,6,0,Complete: every current article image has a CSV record,Pinterest upload confirmed for 6 of 9 current images,2026-08-12 | 2026-08-13 | 2026-08-14 | 2026-08-15 | 2026-08-16,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,2026-08-14
2026-08-06,How to Use a Beautiful Notebook Without Being Afraid to Ruin It,how-to-use-a-beautiful-notebook-without-being-afraid-to-ruin-it,https://sentimentalica.com/blog/how-to-use-a-beautiful-notebook-without-being-afraid-to-ruin-it.html,3,3,0,0,0,Complete: every current article image has a CSV record,Historical CSV record exists; delivery and Pinterest upload are not confirmed,2026-08-11,UPLOAD_THIS_three-new-journal-guides.csv,2026-08-14
2026-08-06,How to Make Printable Junk Journal Pages Feel Personal,how-to-make-printable-junk-journal-pages-feel-personal,https://sentimentalica.com/blog/how-to-make-printable-junk-journal-pages-feel-personal.html,3,3,0,0,0,Complete: every current article image has a CSV record,Historical CSV record exists; delivery and Pinterest upload are not confirmed,2026-08-11 | 2026-08-12,UPLOAD_THIS_three-new-journal-guides.csv,2026-08-14
2026-08-06,How to Choose a Junk Journal Theme You Won't Get Tired Of,how-to-choose-a-junk-journal-theme-you-will-not-get-tired-of,https://sentimentalica.com/blog/how-to-choose-a-junk-journal-theme-you-will-not-get-tired-of.html,3,3,0,0,0,Complete: every current article image has a CSV record,Historical CSV record exists; delivery and Pinterest upload are not confirmed,2026-08-12,UPLOAD_THIS_three-new-journal-guides.csv,2026-08-14
2026-08-05,How to Mix Patterns in a Junk Journal Without Making It Look Busy,how-to-mix-patterns-in-a-junk-journal-without-making-it-look-busy,https://sentimentalica.com/blog/how-to-mix-patterns-in-a-junk-journal-without-making-it-look-busy.html,9,9,0,0,0,Complete: every current article image has a CSV record,Historical CSV record exists; delivery and Pinterest upload are not confirmed,2026-08-10,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,2026-08-14
2026-08-05,How to Make a Botanical Junk Journal Page Flow,how-to-make-a-botanical-junk-journal-page-flow,https://sentimentalica.com/blog/how-to-make-a-botanical-junk-journal-page-flow.html,9,9,0,0,0,Complete: every current article image has a CSV record,Historical CSV record exists; delivery and Pinterest upload are not confirmed,2026-08-10,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,2026-08-14
2026-08-04,How to Use Printable Ephemera Without Making a Journal Page Look Cluttered,how-to-use-printable-ephemera-without-clutter,https://sentimentalica.com/blog/how-to-use-printable-ephemera-without-clutter.html,10,10,0,0,0,Complete: every current article image has a CSV record,Historical CSV record exists; delivery and Pinterest upload are not confirmed,2026-08-06 | 2026-08-09 | 2026-08-12 | 2026-08-15 | 2026-08-18 | 2026-08-21 | 2026-08-24 | 2026-08-27,011_Lavender_Dusk.csv | 032_Pastel_Dusk.csv | 035_Silk_Promise.csv | 096_Primrose_Dell.csv | UPLOAD_THIS_all-other-articles_two-week-schedule.csv,2026-08-14
2026-08-04,How to Start a Junk Journal With What You Have,how-to-start-a-junk-journal-with-what-you-have,https://sentimentalica.com/blog/how-to-start-a-junk-journal-with-what-you-have.html,5,5,0,0,0,Complete: every current article image has a CSV record,Historical CSV record exists; delivery and Pinterest upload are not confirmed,2026-08-05 | 2026-08-08 | 2026-08-11 | 2026-08-14 | 2026-08-17,UPLOAD_THIS_all-other-articles_two-week-schedule.csv | _lead_magnets.csv,2026-08-14
