Article slug,Article URL,Media URL,First recorded batch,All batch files,CSV status,CSV provided date,Pinterest upload confirmed,Pinterest uploaded date,Last Pinterest result,Last Pinterest error,Scheduled publish dates,Last updated
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/palette-lavender-field.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-12,No,,Rejected,Multiples rows with the same title,2026-08-16,2026-08-12
a-cottagecore-journal-page-built-from-one-ordinary-morning,https://sentimentalica.com/blog/a-cottagecore-journal-page-built-from-one-ordinary-morning.html,https://sentimentalica.com/blog/img/a-cottagecore-journal-page-built-from-one-ordinary-morning/palette-lavender-tags.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-16,2026-08-12
a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,https://sentimentalica.com/blog/img/a-dark-academia-lock-screen-that-is-moody-not-muddy/gen1.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-16,2026-08-12
a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,https://sentimentalica.com/blog/img/a-dark-academia-lock-screen-that-is-moody-not-muddy/gen2.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-16,2026-08-12
a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,https://sentimentalica.com/blog/img/a-dark-academia-lock-screen-that-is-moody-not-muddy/gen3.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-13,2026-08-12
a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,https://sentimentalica.com/blog/img/a-dark-academia-lock-screen-that-is-moody-not-muddy/page1.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-15,2026-08-12
a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,https://sentimentalica.com/blog/img/a-dark-academia-lock-screen-that-is-moody-not-muddy/page2.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-12,No,,Rejected,Multiples rows with the same title,2026-08-12,2026-08-12
a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,https://sentimentalica.com/blog/img/a-dark-academia-lock-screen-that-is-moody-not-muddy/page3.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-14,2026-08-12
a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,https://sentimentalica.com/blog/img/a-dark-academia-lock-screen-that-is-moody-not-muddy/palette1.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-16,2026-08-12
a-dark-academia-lock-screen-that-is-moody-not-muddy,https://sentimentalica.com/blog/a-dark-academia-lock-screen-that-is-moody-not-muddy.html,https://sentimentalica.com/blog/img/a-dark-academia-lock-screen-that-is-moody-not-muddy/palette2.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-16,2026-08-12
a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write,https://sentimentalica.com/blog/a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write.html,https://sentimentalica.com/blog/img/a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write/gen1.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-15,2026-08-12
a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write,https://sentimentalica.com/blog/a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write.html,https://sentimentalica.com/blog/img/a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write/gen2.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-15,2026-08-12
a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write,https://sentimentalica.com/blog/a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write.html,https://sentimentalica.com/blog/img/a-five-minute-journaling-routine-for-days-when-you-have-nothing-to-write/gen3.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-15,2026-08-12
a-gentle-new-moon-journal-ritual-for-beginning-again,https://sentimentalica.com/blog/a-gentle-new-moon-journal-ritual-for-beginning-again.html,https://sentimentalica.com/blog/img/a-gentle-new-moon-journal-ritual-for-beginning-again/gen1.jpg,lead_new_moon.csv,lead_new_moon.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-09,2026-08-12
a-gentle-new-moon-journal-ritual-for-beginning-again,https://sentimentalica.com/blog/a-gentle-new-moon-journal-ritual-for-beginning-again.html,https://sentimentalica.com/blog/img/a-gentle-new-moon-journal-ritual-for-beginning-again/gen2.png,lead_new_moon.csv,lead_new_moon.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-14,2026-08-12
a-gentle-new-year-journal-reset-without-big-resolutions,https://sentimentalica.com/blog/a-gentle-new-year-journal-reset-without-big-resolutions.html,https://sentimentalica.com/blog/img/a-gentle-new-year-journal-reset-without-big-resolutions/scene.png,UPLOAD_THIS_11_articles_2026-08-29.csv,UPLOAD_THIS_11_articles_2026-08-29.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-20,No,,,,2026-08-29,2026-08-20
a-harvest-market-journal-page-from-one-slow-morning,https://sentimentalica.com/blog/a-harvest-market-journal-page-from-one-slow-morning.html,https://sentimentalica.com/blog/img/a-harvest-market-journal-page-from-one-slow-morning/gen1.png,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-13,No,,,,2026-08-13,2026-08-13
a-harvest-market-journal-page-from-one-slow-morning,https://sentimentalica.com/blog/a-harvest-market-journal-page-from-one-slow-morning.html,https://sentimentalica.com/blog/img/a-harvest-market-journal-page-from-one-slow-morning/gen2.png,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,UPLOAD_TODAY_five-seasonal-articles_2026-08-13.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-13,No,,,,2026-08-13,2026-08-13
a-layered-vellum-window-page-for-your-junk-journal,https://sentimentalica.com/blog/a-layered-vellum-window-page-for-your-junk-journal.html,https://sentimentalica.com/blog/img/a-layered-vellum-window-page-for-your-junk-journal/atmospheric.png,UPLOAD_THIS_latest-10-articles_2026-08-24_to_2026-08-27.csv,UPLOAD_THIS_latest-10-articles_2026-08-24_to_2026-08-27.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-18,No,,,,2026-08-24,2026-08-18
a-layered-vellum-window-page-for-your-junk-journal,https://sentimentalica.com/blog/a-layered-vellum-window-page-for-your-junk-journal.html,https://sentimentalica.com/blog/img/a-layered-vellum-window-page-for-your-junk-journal/infographic-v2.png,UPLOAD_THIS_latest-10-articles_2026-08-24_to_2026-08-27.csv,UPLOAD_THIS_latest-10-articles_2026-08-24_to_2026-08-27.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-18,No,,,,2026-08-24,2026-08-18
a-layered-vellum-window-page-for-your-junk-journal,https://sentimentalica.com/blog/a-layered-vellum-window-page-for-your-junk-journal.html,https://sentimentalica.com/blog/img/a-layered-vellum-window-page-for-your-junk-journal/process.png,UPLOAD_THIS_latest-10-articles_2026-08-24_to_2026-08-27.csv,UPLOAD_THIS_latest-10-articles_2026-08-24_to_2026-08-27.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-18,No,,,,2026-08-24,2026-08-18
a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,https://sentimentalica.com/blog/img/a-lemon-themed-summer-junk-journal-without-too-much-yellow/gen1.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-14,2026-08-12
a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,https://sentimentalica.com/blog/img/a-lemon-themed-summer-junk-journal-without-too-much-yellow/gen2.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-16,2026-08-12
a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,https://sentimentalica.com/blog/img/a-lemon-themed-summer-junk-journal-without-too-much-yellow/gen3.png,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-14,2026-08-12
a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,https://sentimentalica.com/blog/img/a-lemon-themed-summer-junk-journal-without-too-much-yellow/page1.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-13,2026-08-12
a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,https://sentimentalica.com/blog/img/a-lemon-themed-summer-junk-journal-without-too-much-yellow/page2.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_RETRY_ONLY_38-duplicate-titles-fixed_2026-08-12.csv | UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,CSV provided to Ksenia; Pinterest upload not confirmed,2026-08-12,No,,Rejected,Multiples rows with the same title,2026-08-15,2026-08-12
a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,https://sentimentalica.com/blog/img/a-lemon-themed-summer-junk-journal-without-too-much-yellow/page3.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-12,2026-08-12
a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,https://sentimentalica.com/blog/img/a-lemon-themed-summer-junk-journal-without-too-much-yellow/palette1.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-14,2026-08-12
a-lemon-themed-summer-junk-journal-without-too-much-yellow,https://sentimentalica.com/blog/a-lemon-themed-summer-junk-journal-without-too-much-yellow.html,https://sentimentalica.com/blog/img/a-lemon-themed-summer-junk-journal-without-too-much-yellow/palette2.jpg,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,UPLOAD_THIS_latest-articles_five-day-schedule_2026-08-12.csv,Pinterest upload confirmed by Ksenia,2026-08-12,Yes,2026-08-12,Accepted,,2026-08-14,2026-08-12
a-letter-from-your-future-self-when-you-feel-stuck,https://sentimentalica.com/blog/a-letter-from-your-future-self-when-you-feel-stuck.html,https://sentimentalica.com/blog/img/a-letter-from-your-future-self-when-you-feel-stuck/gen1.jpg,lead_future_self.csv,lead_future_self.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-07,2026-08-12
a-letter-from-your-future-self-when-you-feel-stuck,https://sentimentalica.com/blog/a-letter-from-your-future-self-when-you-feel-stuck.html,https://sentimentalica.com/blog/img/a-letter-from-your-future-self-when-you-feel-stuck/gen2.png,lead_future_self.csv,lead_future_self.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-12,2026-08-12
a-quiet-color-ritual-for-your-journal-desk,https://sentimentalica.com/blog/a-quiet-color-ritual-for-your-journal-desk.html,https://sentimentalica.com/blog/img/a-quiet-color-ritual-for-your-journal-desk/gen1.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv | _lead_magnets.csv,Historical CSV record; handoff status unknown,,No,,,,2026-07-21 | 2026-08-19,2026-08-12
a-quiet-color-ritual-for-your-journal-desk,https://sentimentalica.com/blog/a-quiet-color-ritual-for-your-journal-desk.html,https://sentimentalica.com/blog/img/a-quiet-color-ritual-for-your-journal-desk/gen2.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv | _lead_magnets.csv,Historical CSV record; handoff status unknown,,No,,,,2026-07-20 | 2026-08-19,2026-08-12
a-summer-trail-journal-theme-with-maps-and-mountain-greens,https://sentimentalica.com/blog/a-summer-trail-journal-theme-with-maps-and-mountain-greens.html,https://sentimentalica.com/blog/img/a-summer-trail-journal-theme-with-maps-and-mountain-greens/gen1.jpg,207_Trail_Maps.csv,207_Trail_Maps.csv | UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-22,2026-08-12
a-summer-trail-journal-theme-with-maps-and-mountain-greens,https://sentimentalica.com/blog/a-summer-trail-journal-theme-with-maps-and-mountain-greens.html,https://sentimentalica.com/blog/img/a-summer-trail-journal-theme-with-maps-and-mountain-greens/gen2.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-22,2026-08-12
a-summer-trail-journal-theme-with-maps-and-mountain-greens,https://sentimentalica.com/blog/a-summer-trail-journal-theme-with-maps-and-mountain-greens.html,https://sentimentalica.com/blog/img/a-summer-trail-journal-theme-with-maps-and-mountain-greens/gen3.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-22,2026-08-12
a-summer-trail-journal-theme-with-maps-and-mountain-greens,https://sentimentalica.com/blog/a-summer-trail-journal-theme-with-maps-and-mountain-greens.html,https://sentimentalica.com/blog/img/a-summer-trail-journal-theme-with-maps-and-mountain-greens/gen4.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-22,2026-08-12
a-summer-trail-journal-theme-with-maps-and-mountain-greens,https://sentimentalica.com/blog/a-summer-trail-journal-theme-with-maps-and-mountain-greens.html,https://sentimentalica.com/blog/img/a-summer-trail-journal-theme-with-maps-and-mountain-greens/gen5.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-22,2026-08-12
a-summer-trail-journal-theme-with-maps-and-mountain-greens,https://sentimentalica.com/blog/a-summer-trail-journal-theme-with-maps-and-mountain-greens.html,https://sentimentalica.com/blog/img/a-summer-trail-journal-theme-with-maps-and-mountain-greens/page3.jpg,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,UPLOAD_THIS_all-other-articles_two-week-schedule.csv,Historical CSV record; handoff status unknown,,No,,,,2026-08-22,2026-08-12
